RE/2324/0030,TAO,TBC,03-12-2023,TS MC BTMEN,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,FRONT BODY+BACK BODY+SLEEVE,DARK DENIM 19-4118 TCX,,
,,,,,,,,,,,,,,
RE/2324/0030,TAO,TBC,03-12-2023,TS MC BTMEN,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,NECK PIPING,DARK DENIM 19-4118 TCX,,
,,,,,,,,,,,,,,
RE/2324/0030,TAO,TBC,03-12-2023,TS MC BTMEN,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,NECK TAPE,DARK DENIM 19-4118 TCX,,
,,,,,,,,,,,,,,
RE/2324/0031,TAO,TBC,03-12-2023,TS MC BTAMANDA,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,TOP FRONT+BACK+SLEEVE,GRAPE LEAF,,
,,,,,,,,,,,,,,
RE/2324/0031,TAO,TBC,03-12-2023,TS MC BTAMANDA,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,FRONT +BACK BOTTOM PANEL,WISHPER WHITE,,
,,,,,,,,,,,,,,
RE/2324/0031,TAO,TBC,03-12-2023,TS MC BTAMANDA,1X1 LYCRA RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,255 - 265,PIECES,NECK RIB,GRAPE LEAF,,
,,,,,,,,,,,,,,
RE/2324/0032,TAO,TBC,03-12-2023,TS MC BTYEAH,SINGLE JERSEY,60% COTTON 40% POLYSTER,Main Fabric,Solid,175 - 185,PIECES,FRONT BODY+BACK BODY+SLEEVE,NEON CORAL,,
,,,,,,,,,,,,,,
RE/2324/0032,TAO,TBC,03-12-2023,TS MC BTYEAH,2X2 LYCRA DURBY,60% COTTON 37% POLYESTER 3% ELASTANE,Main Fabric,Solid,255 - 265,PIECES,NECK RIB,NEON CORAL,,
,,,,,,,,,,,,,,
RE/2324/0033,TAO,TBC,03-12-2023,TS MC ATPOTE,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,195 - 205,PIECES,FRONT BODY+BACK BODY+SLEEVE,WISHPER WHITE,,
,,,,,,,,,,,,,,
RE/2324/0033,TAO,TBC,03-12-2023,TS MC ATPOTE,1X1 LYCRA RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,275 - 285,PIECES,NECK RIB,WISHPER WHITE,,
,,,,,,,,,,,,,,
RE/2324/0033,TAO,TBC,03-12-2023,TS MC ATPOTE,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,195 - 205,PIECES,FRONT BODY+BACK BODY+SLEEVE,JET BLACK,,
,,,,,,,,,,,,,,
RE/2324/0033,TAO,TBC,03-12-2023,TS MC ATPOTE,1X1 LYCRA RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,275 - 285,PIECES,NECK RIB,JET BLACK,,
,,,,,,,,,,,,,,
RE/2324/0034,TAO,TBC,03-12-2023,TS MC BTGIPSY,LYCRA JERSEY,95% VISCOSE 5% ELASTANE,Main Fabric,Solid,205 - 215,PIECES,FRONT BODY+BACK BODY+SLEEVE,DEEP MINT (17-5937 TCX),,
,,,,,,,,,,,,,,
RE/2324/0034,TAO,TBC,03-12-2023,TS MC BTGIPSY,LYCRA JERSEY,95% VISCOSE 5% ELASTANE,Main Fabric,Solid,205 - 215,PIECES,FRONT BODY+BACK BODY+SLEEVE,JET BLACK,,
,,,,,,,,,,,,,,
RE/2324/0038,TAO,TBC,29-09-2023,TS MC AEVERGLADES,SLUB JERSEY,100% ORGANIC COTTON SLUB,Main Fabric,Solid,155 - 165,PIECES,TOP FRONT+BACK+SLEEVE,BURNISHED GOLD 16-0737 TCX,,
,,,,,,,,,,,,,,
RE/2324/0038,TAO,TBC,29-09-2023,TS MC AEVERGLADES,SLUB JERSEY,100% ORGANIC COTTON SLUB,Main Fabric,Solid,155 - 165,PIECES,NECK,BURNISHED GOLD 16-0737 TCX,,
,,,,,,,,,,,,,,
RE/2324/0038,TAO,TBC,29-09-2023,TS MC AEVERGLADES,1X1 LYCRA RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,235 - 245,PIECES,NECK RIB,BURNISHED GOLD 16-0737 TCX,,
,,,,,,,,,,,,,,
